sample_id,aneuploidy_score,fga
P-0003374-T01-IM5,0.195121951,0.188310667
P-0003377-T01-IM5,0.219512195,0.24655386
P-0003401-T01-IM5,0.048780488,0.046292928
P-0003406-T01-IM5,0.146341463,0.254467027
P-0003432-T01-IM5,0.536585366,0.594828779
P-0003456-T01-IM5,0.243902439,0.193132942
P-0003495-T01-IM5,0.268292683,0.255947814
P-0003507-T01-IM5,0.487804878,0.626187304
P-0003521-T02-IM5,0.512195122,0.594182821
P-0003524-T01-IM5,0,0.003061359
P-0003543-T01-IM5,0.317073171,0.306169989
P-0003553-T01-IM5,0.707317073,0.742532726
P-0003555-T01-IM5,0.048780488,0.059159559
P-0003559-T01-IM5,0,0.002899142
P-0003560-T01-IM5,0.219512195,0.23342822
P-0003562-T01-IM5,0.756097561,0.827512952
P-0003567-T01-IM5,0.195121951,0.168674505
P-0003568-T01-IM5,0.219512195,0.254346492
P-0003583-T01-IM5,0.024390244,0.014303024
P-0003584-T01-IM5,0.195121951,0.239800431
P-0003596-T01-IM5,0.536585366,0.621588184
P-0003598-T01-IM5,0.585365854,0.586023335
P-0003620-T01-IM5,0.658536585,0.793753697
P-0003621-T01-IM5,0.170731707,0.126255112
P-0003628-T01-IM5,0.195121951,0.276439971
P-0003635-T01-IM5,0.731707317,0.800589083
P-0003645-T01-IM5,0.243902439,0.275279285
P-0003650-T01-IM5,0.12195122,0.156151008
P-0003670-T01-IM5,0.243902439,0.265289178
P-0003698-T02-IM5,0.317073171,0.644355459
P-0003700-T01-IM5,0.097560976,0.107984474
P-0003703-T01-IM5,0.390243902,0.547607153
P-0003711-T01-IM5,0.365853659,0.422005088
P-0003719-T01-IM5,0.243902439,0.333325611
P-0003721-T01-IM5,0.585365854,0.620009302
P-0003726-T01-IM5,0.097560976,0.135155623
P-0003728-T01-IM5,0.146341463,0.173293319
P-0003738-T02-IM5,0,4.07E-06
P-0003742-T01-IM5,0.975609756,0.993800633
P-0003743-T01-IM5,0.073170732,0.093736287
P-0003749-T01-IM5,0.780487805,0.783456811
P-0003757-T01-IM5,0.463414634,0.546124941
P-0003766-T01-IM5,0.341463415,0.30021601
P-0003782-T01-IM5,0.073170732,0.114832
P-0003783-T01-IM5,0.463414634,0.459371311
P-0003811-T01-IM5,0.682926829,0.775969202
P-0003814-T01-IM5,0.243902439,0.221237538
P-0003841-T01-IM5,0.512195122,0.621217203
P-0003865-T01-IM5,0.146341463,0.159713564
P-0003868-T01-IM5,0.487804878,0.516430667
P-0003869-T01-IM5,0.658536585,0.697164277
P-0003871-T01-IM5,0.56097561,0.627548108
P-0003872-T01-IM5,0.658536585,0.712080825
P-0003881-T01-IM5,0.365853659,0.399145572
P-0003892-T01-IM5,0.219512195,0.227406275
P-0003899-T01-IM5,0.243902439,0.282082199
P-0003911-T01-IM5,0.829268293,0.834341997
P-0003913-T01-IM3,0.292682927,0.373172089
P-0003914-T01-IM3,0.219512195,0.187746317
P-0003921-T01-IM5,0.658536585,0.667565596
P-0003944-T01-IM3,0.609756098,0.783901755
P-0003955-T01-IM3,0.268292683,0.235299242
P-0003964-T01-IM3,0.414634146,0.447343048
P-0003967-T01-IM5,0.43902439,0.41405929
P-0003970-T01-IM5,0.390243902,0.445244512
P-0003972-T01-IM5,0.634146341,0.738761417
P-0004011-T01-IM5,0.048780488,0.032226397
P-0004016-T01-IM5,0.43902439,0.528327919
P-0004020-T01-IM5,0.292682927,0.242153082
P-0004043-T01-IM3,0.463414634,0.41380927
P-0004048-T01-IM5,0.317073171,0.414306282
P-0004050-T01-IM3,0.634146341,0.789979938
P-0004051-T01-IM5,0,0.016467334
P-0004054-T01-IM5,0.853658537,0.903029699
P-0004056-T01-IM5,0.56097561,0.571992762
P-0004077-T01-IM5,0.097560976,0.119822997
P-0004099-T01-IM5,0.658536585,0.76765786
P-0004103-T01-IM5,0.414634146,0.429889402
P-0004117-T01-IM5,0.804878049,0.785830985
P-0004120-T01-IM5,0.048780488,0.023667583
P-0004126-T01-IM5,0.219512195,0.189890199
P-0004132-T01-IM5,0.365853659,0.409766703
P-0004137-T01-IM5,0.097560976,0.139526893
P-0004140-T01-IM5,0.56097561,0.837972918
P-0004142-T01-IM5,0.024390244,0.076643456
P-0004150-T01-IM5,0.365853659,0.513666359
P-0004170-T01-IM5,0.243902439,0.241881574
P-0004189-T01-IM5,0.414634146,0.535653814
P-0004203-T01-IM5,0.707317073,0.755552075
P-0004214-T01-IM5,0.658536585,0.745384245
P-0004226-T01-IM5,0.146341463,0.154585193
P-0004232-T01-IM5,0.804878049,0.860796833
P-0004240-T01-IM5,0.024390244,0.049415009
P-0004253-T01-IM5,0.243902439,0.286994938
P-0004256-T01-IM5,0.195121951,0.247566786
P-0004257-T01-IM5,0.073170732,0.094171222
P-0004259-T01-IM5,0.195121951,0.199482121
P-0004272-T01-IM5,0.756097561,0.781632836
P-0004279-T01-IM5,0.609756098,0.750546131
P-0004294-T01-IM5,0.56097561,0.664294645
P-0004315-T01-IM5,0.658536585,0.758129053
P-0004329-T01-IM5,0.341463415,0.392567447
P-0004348-T01-IM5,0.341463415,0.372278028
P-0004349-T01-IM5,0.463414634,0.427279131
P-0004362-T01-IM5,0.243902439,0.379204417
P-0004366-T01-IM5,0.390243902,0.363119311
P-0004376-T01-IM5,0.048780488,0.07890978
P-0004387-T01-IM5,0.585365854,0.541870373
P-0004395-T01-IM5,0.585365854,0.710738972
P-0004397-T01-IM5,0.341463415,0.347641508
P-0004412-T01-IM5,0.463414634,0.469847127
P-0004413-T01-IM5,0.317073171,0.38159858
P-0004416-T01-IM5,0.634146341,0.670739151
P-0004436-T01-IM5,0.365853659,0.525762617
P-0004437-T01-IM5,0.268292683,0.335895341
P-0004442-T01-IM5,0.390243902,0.420224735
P-0004457-T01-IM5,0.170731707,0.218453632
P-0004458-T01-IM5,0.390243902,0.381416574
P-0004463-T01-IM5,0.43902439,0.479868244
P-0004472-T01-IM5,0.634146341,0.677235351
P-0004492-T01-IM5,0.048780488,0.104602084
P-0004494-T01-IM5,0.097560976,0.114215206
P-0004495-T01-IM5,0,0.003216082
P-0004507-T01-IM5,0.219512195,0.22098066
P-0004517-T01-IM5,0.682926829,0.808768608
P-0004518-T01-IM5,0.048780488,0.06475841
P-0004527-T01-IM5,0.56097561,0.733749129
P-0004552-T01-IM5,0.634146341,0.686716243
P-0004561-T01-IM5,0.634146341,0.669499416
P-0004588-T01-IM5,0,0.02317284
P-0004605-T01-IM5,0.56097561,0.690840474
P-0004612-T01-IM5,0.756097561,0.848056632
P-0004613-T01-IM5,0.634146341,0.671737448
P-0004661-T01-IM5,0.097560976,0.099469536
P-0004686-T01-IM5,0.658536585,0.655316309
P-0004693-T01-IM5,0.048780488,0.052057524
P-0004700-T01-IM5,0.073170732,0.067773772
P-0004701-T01-IM5,0.365853659,0.44408264
P-0004706-T01-IM5,0.097560976,0.224473484
P-0004742-T01-IM5,0,0.003811503
P-0004752-T01-IM5,0.097560976,0.143232811
P-0004759-T01-IM5,0.56097561,0.644252453
P-0004778-T01-IM5,0.097560976,0.104787366
P-0004783-T01-IM5,0.024390244,0.035188742
P-0004803-T01-IM5,0.658536585,0.663366168
P-0004812-T01-IM5,0.390243902,0.341166319
P-0004813-T02-IM5,0.43902439,0.507429436
P-0004815-T01-IM5,0.536585366,0.640829962
P-0004827-T01-IM5,0.170731707,0.132469737
P-0004832-T01-IM5,0.56097561,0.805874926
P-0004857-T01-IM5,0.707317073,0.68329907
P-0004871-T01-IM5,0.43902439,0.48498336
P-0004890-T01-IM5,0.536585366,0.641480663
P-0004933-T01-IM5,0.731707317,0.83588938
P-0004952-T01-IM5,0.414634146,0.608693183
P-0004961-T01-IM5,0.048780488,0.052081864
P-0004971-T01-IM5,0.170731707,0.151851474
P-0004983-T01-IM5,0,2.80E-04
P-0004996-T02-IM5,0.390243902,0.413045879
P-0005021-T01-IM5,0,6.07E-05
P-0005039-T01-IM5,0.56097561,0.560714167
P-0005048-T01-IM5,0.12195122,0.127906506
P-0005053-T01-IM5,0.146341463,0.134660872
P-0005054-T01-IM5,0.56097561,0.634576203
P-0005062-T01-IM5,0.634146341,0.658966599
P-0005082-T01-IM5,0,5.28E-06
P-0005109-T01-IM5,0.804878049,0.909492553
P-0005115-T01-IM5,0.195121951,0.223745913
P-0005118-T01-IM5,0.682926829,0.718885165
P-0005121-T02-IM5,0.195121951,0.201433144
P-0005129-T01-IM5,0.170731707,0.179947534
P-0005131-T01-IM5,0.414634146,0.440093286
P-0005132-T01-IM5,0.658536585,0.734486005
P-0005141-T01-IM5,0.829268293,0.829553043
P-0005144-T01-IM5,0.414634146,0.370353889
P-0005146-T01-IM5,0.292682927,0.301820269
P-0005150-T01-IM5,0,0.005631389
P-0005151-T01-IM5,0.048780488,0.027428995
P-0005157-T01-IM5,0.146341463,0.176243632
P-0005159-T01-IM5,0.609756098,0.619616658
P-0005176-T01-IM5,0.634146341,0.877013102
P-0005177-T01-IM5,0.341463415,0.311709669
P-0005180-T01-IM5,0.682926829,0.751320351
P-0005187-T01-IM5,0.024390244,0.03983093
P-0005201-T01-IM5,0.12195122,0.133532591
P-0005222-T01-IM5,0.463414634,0.402534167
P-0005226-T01-IM5,0.487804878,0.517071477
P-0005228-T01-IM5,0.341463415,0.288591373
P-0005235-T01-IM5,0.536585366,0.739133567
P-0005239-T01-IM5,0.048780488,0.052066501
P-0005252-T01-IM5,0.463414634,0.544908012
P-0005254-T01-IM5,0.365853659,0.443937565
P-0005260-T01-IM5,0.146341463,0.19429498
