sample	aneuploidy_score
GENIE-MSK-P-0000042-T01-IM3	0.658536585365854
GENIE-MSK-P-0000043-T02-IM3	0.585365853658537
GENIE-MSK-P-0000047-T01-IM3	0.463414634146341
GENIE-MSK-P-0000053-T01-IM3	0.268292682926829
GENIE-MSK-P-0000055-T01-IM3	0.48780487804878
GENIE-MSK-P-0000056-T01-IM3	0.0731707317073171
GENIE-MSK-P-0000057-T01-IM3	0.804878048780488
GENIE-MSK-P-0000058-T01-IM3	0.634146341463415
GENIE-MSK-P-0000059-T01-IM3	0
GENIE-MSK-P-0000060-T01-IM3	0.439024390243902
GENIE-MSK-P-0000061-T01-IM3	0.0975609756097561
GENIE-MSK-P-0000062-T01-IM3	0.536585365853659
GENIE-MSK-P-0000063-T01-IM3	0.439024390243902
GENIE-MSK-P-0000064-T02-IM3	0.707317073170732
GENIE-MSK-P-0000065-T01-IM3	0.170731707317073
GENIE-MSK-P-0000066-T01-IM3	0.463414634146341
GENIE-MSK-P-0000066-T02-IM5	0.536585365853659
GENIE-MSK-P-0000067-T01-IM3	0.609756097560976
GENIE-MSK-P-0000067-T02-IM5	0.585365853658537
GENIE-MSK-P-0000068-T01-IM3	0.121951219512195
GENIE-MSK-P-0000069-T01-IM3	0.146341463414634
GENIE-MSK-P-0000071-T01-IM3	0.195121951219512
GENIE-MSK-P-0000073-T01-IM3	0.414634146341463
GENIE-MSK-P-0000076-T01-IM3	0.0975609756097561
GENIE-MSK-P-0000077-T01-IM3	0.463414634146341
GENIE-MSK-P-0000079-T01-IM3	0.48780487804878
GENIE-MSK-P-0000080-T01-IM3	0.75609756097561
GENIE-MSK-P-0000081-T01-IM3	0.219512195121951
GENIE-MSK-P-0000081-T02-IM6	0.365853658536585
GENIE-MSK-P-0000082-T01-IM3	0.463414634146341
GENIE-MSK-P-0000083-T01-IM3	0.219512195121951
GENIE-MSK-P-0000083-T02-IM6	0.024390243902439
GENIE-MSK-P-0000084-T01-IM3	0.51219512195122
GENIE-MSK-P-0000085-T02-IM3	0.0731707317073171
GENIE-MSK-P-0000086-T01-IM3	0.24390243902439
GENIE-MSK-P-0000088-T01-IM3	0.365853658536585
GENIE-MSK-P-0000092-T01-IM3	0.439024390243902
GENIE-MSK-P-0000093-T01-IM3	0.634146341463415
GENIE-MSK-P-0000095-T01-IM3	0.195121951219512
GENIE-MSK-P-0000096-T01-IM3	0.414634146341463
GENIE-MSK-P-0000098-T01-IM3	0.926829268292683
GENIE-MSK-P-0000100-T02-IM3	0.268292682926829
GENIE-MSK-P-0000102-T02-IM3	0.48780487804878
GENIE-MSK-P-0000103-T01-IM3	0.51219512195122
GENIE-MSK-P-0000104-T01-IM3	0.195121951219512
GENIE-MSK-P-0000104-T02-IM6	0.0975609756097561
GENIE-MSK-P-0000105-T01-IM3	0.536585365853659
GENIE-MSK-P-0000106-T01-IM3	0.414634146341463
GENIE-MSK-P-0000107-T01-IM3	0.0731707317073171
GENIE-MSK-P-0000108-T01-IM3	0.560975609756098
GENIE-MSK-P-0000110-T01-IM3	0.365853658536585
GENIE-MSK-P-0000112-T01-IM3	0.51219512195122
GENIE-MSK-P-0000113-T01-IM3	0.317073170731707
GENIE-MSK-P-0000113-T03-IM7	0.69047619047619
GENIE-MSK-P-0000113-T04-IM7	0.285714285714286
GENIE-MSK-P-0000114-T01-IM3	0.390243902439024
GENIE-MSK-P-0000114-T02-IM3	0.390243902439024
GENIE-MSK-P-0000115-T01-IM3	0.268292682926829
GENIE-MSK-P-0000115-T02-IM7	0.833333333333333
GENIE-MSK-P-0000116-T01-IM3	0.268292682926829
GENIE-MSK-P-0000117-T01-IM3	0.341463414634146
GENIE-MSK-P-0000118-T01-IM3	0.024390243902439
GENIE-MSK-P-0000119-T01-IM3	0.414634146341463
GENIE-MSK-P-0000120-T01-IM3	0.48780487804878
GENIE-MSK-P-0000120-T02-IM6	0.317073170731707
GENIE-MSK-P-0000121-T01-IM3	0.24390243902439
GENIE-MSK-P-0000122-T01-IM3	0.682926829268293
GENIE-MSK-P-0000122-T02-IM6	0.780487804878049
GENIE-MSK-P-0000122-T03-IM6	0.609756097560976
GENIE-MSK-P-0000123-T01-IM3	0.195121951219512
GENIE-MSK-P-0000125-T01-IM3	0.146341463414634
GENIE-MSK-P-0000126-T01-IM3	0.51219512195122
GENIE-MSK-P-0000127-T01-IM3	0.390243902439024
GENIE-MSK-P-0000127-T02-IM3	0.341463414634146
GENIE-MSK-P-0000129-T01-IM3	0.75609756097561
GENIE-MSK-P-0000130-T01-IM3	0.585365853658537
GENIE-MSK-P-0000131-T01-IM3	0.560975609756098
GENIE-MSK-P-0000131-T02-IM6	0.414634146341463
GENIE-MSK-P-0000132-T01-IM3	0.780487804878049
GENIE-MSK-P-0000133-T01-IM3	0.0487804878048781
GENIE-MSK-P-0000134-T01-IM3	0.902439024390244
GENIE-MSK-P-0000134-T02-IM3	0.902439024390244
GENIE-MSK-P-0000135-T01-IM3	0.463414634146341
GENIE-MSK-P-0000136-T01-IM3	0.390243902439024
GENIE-MSK-P-0000137-T01-IM3	0.195121951219512
GENIE-MSK-P-0000138-T01-IM3	0.48780487804878
GENIE-MSK-P-0000138-T02-IM3	0.292682926829268
GENIE-MSK-P-0000140-T01-IM3	0.536585365853659
GENIE-MSK-P-0000141-T01-IM3	0.0975609756097561
GENIE-MSK-P-0000142-T01-IM3	0.170731707317073
GENIE-MSK-P-0000143-T01-IM3	0.121951219512195
GENIE-MSK-P-0000144-T01-IM3	0.121951219512195
GENIE-MSK-P-0000145-T01-IM3	0.24390243902439
GENIE-MSK-P-0000146-T01-IM3	0.0487804878048781
GENIE-MSK-P-0000147-T01-IM3	0
GENIE-MSK-P-0000148-T01-IM3	0.0731707317073171
GENIE-MSK-P-0000148-T02-IM3	0.0487804878048781
GENIE-MSK-P-0000149-T01-IM3	0.51219512195122
GENIE-MSK-P-0000149-T02-IM3	0.731707317073171
GENIE-MSK-P-0000151-T01-IM3	0.682926829268293
GENIE-MSK-P-0000152-T01-IM3	0.707317073170732
GENIE-MSK-P-0000152-T02-IM5	0.878048780487805
GENIE-MSK-P-0000152-T03-IM6	0.634146341463415
GENIE-MSK-P-0000153-T01-IM3	0.292682926829268
GENIE-MSK-P-0000153-T02-IM3	0.024390243902439
GENIE-MSK-P-0000154-T01-IM3	0.658536585365854
GENIE-MSK-P-0000155-T01-IM3	0.51219512195122
GENIE-MSK-P-0000156-T01-IM3	0.75609756097561
GENIE-MSK-P-0000157-T01-IM3	0
GENIE-MSK-P-0000158-T01-IM3	0.24390243902439
GENIE-MSK-P-0000159-T01-IM3	0.219512195121951
